場所,発話キャラ,内容,左,真ん中,右
フォートオクタゴン,9,中央政府の総統、<color=#42f5ec>ヴィクトリア・J・グラヴィティーナ</color>。<br>貴様が新人か？期待しているぞ。<br>リアンフリーデンに栄光あれ！,,09Normal,
,9,どの自治区も面白いことになってきたな…実に愉快だ。<br>やはり人間はどこまで行っても争う生き物なのさ…ハハッ。,10Normal,09Normal,11Normal
ペリコロハーブハウス,1,"こんにちは。私はピエリス。皆んなはDr.Pって呼んでるわ<noparse> <sprite=""EmojiOne"" index=0> </noparse>毒を持ってる植物（薬草）を調べるのが好きなの。<br>....ねぇ何かいい毒物知らない？",01Happy,,02Normal
,2,"やっほー！！！おいらはマイラ・キメラ！わくわくけんきゅーじょの所長だよ。<br>あなたの体面白いね、なにで作られてるの？ちょっとおれに見せてよ<sprite=""EmojiOne"" index=11> ",01Normal,,02Happy
わくわくけんきゅーじょ,2,ぼかぁ研究柄、すぐ合体させたくなったり分解したくなったりしちゃうんだ。え、やだなぁ、そんな怖い顔で見ないでよ〜。何もしないよ！な・に・も！.......へへっ。,03Normal,,02Angry
クルーズ・アルティメットステラスター,3,,,,03Normal
ガイノーム,4,ごきげんよう。アタクシはミセス・グリューン。<br>プラネッタで植物栄養学の研究をしているの。雑草さんには縁のない学問でしょうけれど、よろしくね。,,,04Normal
宝星摩天大楼,5,"遠路はるばるトロイ州までようこそお越しくださいました。私は電脳交流学者のロンチンレイです。以降お見知り置きを…。<br>…よしっ試行回数100回、完・璧・だっ！<sprite=""EmojiOne"" index=3> ",,05Normal,
ガフールベルク,6,ナミモロという。悲涙エネルギーの研究者だ。<br>テュレーネンを気に入ってくれることを願う。何か困ったことがあったら言ってくれ...力になれたら嬉しい。,06Normal,,07Normal
かたはれ高楼,7,あー、どうも。新村八雲だ。 霊魂統御学を専攻している者だ。<br>まあ霊だとか魂だとか、お前さんとはかけ離れた存在だろうがな…。これからよろしく頼む。,06Normal,,07Normal
ワックアモール第一拠点,8,"はじめまして！ロジーちゃんだよ<sprite=""EmojiOne"" index=1>わたしの好きなことをおしえてあげる！それはね……整地！いつかこの国を更地にするのがゆめなんだ！じゃあさっそく……しゅっぱーつ！",06Normal,,08Normal
,8,みてみて！きれいな化石を見つけたの！特別に私のコレクションを見せてあげる！<br>えーとこれがぐるぐるちゃんで、それがギザギザくん！あれがゴツゴツさん！ぜんぶロジーちゃんが名付けたの！かわいいでしょ？,06Normal,,08Normal
